DESC (0)|NTACODE (1)|NTANAME (2)|***HOUSING OCCUPANCY (3)|TOTAL HOUSING UNITS (4)|   OCCUPIED HOUSING UNITS (5)|   VACANT HOUSING UNITS (6)|***UNITS IN STRUCTURE (7)|TOTAL HOUSING UNITS (8)|   1-UNIT, DETACHED (9)|   1-UNIT, ATTACHED (10)|   2 UNITS (11)|   3 OR 4 UNITS (12)|   5 TO 9 UNITS (13)|   10 TO 19 UNITS (14)|   20 OR MORE UNITS (15)|   MOBILE HOME (16)|   BOAT, RV, VAN, ETC. (17)|***YEAR STRUCTURE BUILT (18)|TOTAL HOUSING UNITS (19)|   BUILT 2010 OR LATER (20)|   BUILT 2000 TO 2009 (21)|   BUILT 1990 TO 1999 (22)|   BUILT 1980 TO 1989 (23)|   BUILT 1970 TO 1979 (24)|   BUILT 1960 TO 1969 (25)|   BUILT 1950 TO 1959 (26)|   BUILT 1940 TO 1949 (27)|   BUILT 1939 OR EARLIER (28)|***ROOMS (29)|TOTAL HOUSING UNITS (30)|   1 ROOM (31)|   2 ROOMS (32)|   3 ROOMS (33)|   4 ROOMS (34)|   5 ROOMS (35)|   6 ROOMS (36)|   7 ROOMS (37)|   8 ROOMS (38)|   9 ROOMS OR MORE (39)|***BEDROOMS (40)|TOTAL HOUSING UNITS (41)|   NO BEDROOM (42)|   1 BEDROOM (43)|   2 BEDROOMS (44)|   3 BEDROOMS (45)|   4 BEDROOMS (46)|   5 OR MORE BEDROOMS (47)|***HOUSING TENURE (48)|OCCUPIED HOUSING UNITS (49)|   OWNER-OCCUPIED (50)|   RENTER-OCCUPIED (51)|***YEAR HOUSEHOLDER MOVED INTO UNIT (52)|OCCUPIED HOUSING UNITS (53)|   MOVED IN 2010 OR LATER (54)|   MOVED IN 2000 TO 2009 (55)|   MOVED IN 1990 TO 1999 (56)|   MOVED IN 1980 TO 1989 (57)|   MOVED IN 1970 TO 1979 (58)|   MOVED IN 1969 OR EARLIER (59)|***VEHICLES AVAILABLE (60)|OCCUPIED HOUSING UNITS (61)|   NO VEHICLES AVAILABLE (62)|   1 VEHICLE AVAILABLE (63)|   2 VEHICLES AVAILABLE (64)|   3 OR MORE VEHICLES AVAILABLE (65)|***HOUSE HEATING FUEL  (66)|OCCUPIED HOUSING UNITS (67)|   UTILITY GAS (68)|   BOTTLED, TANK, OR LP GAS (69)|   ELECTRICITY (70)|   FUEL OIL, KEROSENE, ETC. (71)|   COAL OR COKE (72)|   WOOD (73)|   SOLAR ENERGY (74)|   OTHER FUEL (75)|   NO FUEL USED (76)|***SELECTED CHARACTERISTICS (77)|OCCUPIED HOUSING UNITS (78)|   LACKING COMPLETE PLUMBING FACILITIES (79)|   LACKING COMPLETE KITCHEN FACILITIES (80)|   NO TELEPHONE SERVICE AVAILABLE (81)|***OCCUPANTS PER ROOM (82)|OCCUPIED HOUSING UNITS (83)|   1.00 OR LESS (84)|   1.01 TO 1.50 (85)|   1.51 OR MORE (86)|***VALUE (87)| OWNER-OCCUPIED UNITS (88)|   LESS THAN $50,000 (89)|   $50,000 TO $99,999 (90)|   $100,000 TO $149,999 (91)|   $150,000 TO $199,999 (92)|   $200,000 TO $299,999 (93)|   $300,000 TO $499,999 (94)|   $500,000 TO $999,999 (95)|   $1,000,000 OR MORE (96)|***MORTGAGE STATUS (97)|OWNER-OCCUPIED UNITS (98)|   HOUSING UNITS WITH A MORTGAGE (99)|   HOUSING UNITS WITHOUT A MORTGAGE (100)|***SELECTED MONTHLY OWNER COSTS (SMOC) (101)|HOUSING UNITS WITH A MORTGAGE (102)|   LESS THAN $300 (103)|   $300 TO $499 (104)|   $500 TO $699 (105)|   $700 TO $999 (106)|   $1,000 TO $1,499 (107)|   $1,500 TO $1,999 (108)|   $2,000 OR MORE (109)|   HOUSING UNITS WITHOUT A MORTGAGE (110)|   LESS THAN $100 (111)|   $100 TO $199 (112)|   $200 TO $299 (113)|   $300 TO $399 (114)|   $400 OR MORE (115)|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) (116)|HOUSING UNITS WITH A MORTGAGE (EXCL. UNITS WHERE SMOCAPI CAN'T BE CMPTD) (117)|   LESS THAN 20.0 PERCENT (118)|   20.0 TO 24.9 PERCENT (119)|   25.0 TO 29.9 PERCENT (120)|   30.0 TO 34.9 PERCENT (121)|   35.0 PERCENT OR MORE (122)|   NOT COMPUTED (123)|HOUSING UNIT WITHOUT A MORTGAGE (EXCL. UNITS WHERE SMOCAPI CAN'T BE CMPTD) (124)|   LESS THAN 10.0 PERCENT (125)|   10.0 TO 14.9 PERCENT (126)|   15.0 TO 19.9 PERCENT (127)|   20.0 TO 24.9 PERCENT (128)|   25.0 TO 29.9 PERCENT (129)|   30.0 TO 34.9 PERCENT (130)|   35.0 PERCENT OR MORE (131)|   NOT COMPUTED (132)|***GROSS RENT (133)|OCCUPIED UNITS PAYING RENT (134)|   LESS THAN $200 (135)|   $200 TO $299 (136)|   $300 TO $499 (137)|   $500 TO $749 (138)|   $750 TO $999 (139)|   $1,000 TO $1,499 (140)|   $1,500 OR MORE (141)|   NO RENT PAID (142)|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) (143)|OCCUPIED UNITS PAYING RENT (EXCL. UNITS WHERE GRAPI CAN'T BE COMPUTED) (144)|   LESS THAN 15.0 PERCENT (145)|   15.0 TO 19.9 PERCENT (146)|   20.0 TO 24.9 PERCENT (147)|   25.0 TO 29.9 PERCENT (148)|   30.0 TO 34.9 PERCENT (149)|   35.0 PERCENT OR MORE (150)|   NOT COMPUTED (151)
DATA|BK50|Canarsie|***HOUSING OCCUPANCY|29,800|27,669|2,131|***UNITS IN STRUCTURE|29,800|2,596|3,746|14,898|4,306|659|718|2,868|9|0|***YEAR STRUCTURE BUILT|29,800|19|552|333|1,046|1,621|11,432|8,943|2,237|3,617|***ROOMS|29,800|2,526|287|2,694|8,379|6,983|4,646|1,773|848|1,664|***BEDROOMS|29,800|2,560|2,736|11,044|10,411|1,994|1,055|***HOUSING TENURE|27,669|13,555|14,114|***YEAR HOUSEHOLDER MOVED INTO UNIT|27,669|1,775|13,464|8,929|1,664|960|877|***VEHICLES AVAILABLE|27,669|9,393|11,803|5,115|1,358|***HOUSE HEATING FUEL |27,669|24,518|396|986|1,439|0|30|11|149|140|***SELECTED CHARACTERISTICS|27,669|119|118|369|***OCCUPANTS PER ROOM|27,669|24,461|1,297|1,911|***VALUE|13,555|183|221|64|116|719|5,997|6,193|62|***MORTGAGE STATUS|13,555|11,828|1,727|***SELECTED MONTHLY OWNER COSTS (SMOC)|11,828|0|14|19|218|611|1,035|9,931|1,727|0|0|0|82|1,645|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|11,745|1,745|1,071|1,274|1,093|6,562|83|1,727|340|246|234|192|142|113|460|0|***GROSS RENT|13,827|182|723|705|1,382|1,658|5,695|3,482|287|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|13,448|1,691|1,634|1,718|1,565|1,459|5,381|666
DATA|BK58|Flatlands|***HOUSING OCCUPANCY|24,682|23,279|1,403|***UNITS IN STRUCTURE|24,682|4,125|6,157|6,526|1,684|259|548|5,379|4|0|***YEAR STRUCTURE BUILT|24,682|28|354|293|206|856|3,759|5,058|5,810|8,318|***ROOMS|24,682|650|791|4,155|4,348|5,121|4,750|2,186|1,124|1,557|***BEDROOMS|24,682|725|4,370|6,749|9,747|1,990|1,101|***HOUSING TENURE|23,279|13,871|9,408|***YEAR HOUSEHOLDER MOVED INTO UNIT|23,279|1,438|9,953|6,253|3,509|1,315|811|***VEHICLES AVAILABLE|23,279|7,662|9,689|4,851|1,077|***HOUSE HEATING FUEL |23,279|19,281|329|715|2,741|0|22|0|66|125|***SELECTED CHARACTERISTICS|23,279|121|186|297|***OCCUPANTS PER ROOM|23,279|21,176|1,451|652|***VALUE|13,871|108|276|194|577|916|6,707|4,956|137|***MORTGAGE STATUS|13,871|10,928|2,943|***SELECTED MONTHLY OWNER COSTS (SMOC)|10,928|31|35|231|179|1,053|1,898|7,501|2,943|69|61|32|119|2,662|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|10,878|2,096|1,136|1,121|988|5,537|50|2,928|938|433|361|293|198|151|554|15|***GROSS RENT|9,129|79|363|479|948|1,705|4,017|1,538|279|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|8,874|999|1,234|1,068|969|961|3,643|534
DATA|BX27|Hunts Point|***HOUSING OCCUPANCY|9,513|8,877|636|***UNITS IN STRUCTURE|9,513|107|199|374|1,036|549|961|6,280|7|0|***YEAR STRUCTURE BUILT|9,513|43|914|845|974|1,109|832|902|810|3,084|***ROOMS|9,513|559|279|2,414|3,432|2,007|468|236|62|56|***BEDROOMS|9,513|579|2,802|3,434|2,260|272|166|***HOUSING TENURE|8,877|472|8,405|***YEAR HOUSEHOLDER MOVED INTO UNIT|8,877|623|4,966|1,777|1,015|374|122|***VEHICLES AVAILABLE|8,877|6,874|1,515|470|18|***HOUSE HEATING FUEL |8,877|2,838|86|641|5,187|0|0|0|48|77|***SELECTED CHARACTERISTICS|8,877|141|135|576|***OCCUPANTS PER ROOM|8,877|7,832|851|194|***VALUE|472|13|84|71|13|18|207|61|5|***MORTGAGE STATUS|472|283|189|***SELECTED MONTHLY OWNER COSTS (SMOC)|283|0|0|0|6|35|51|191|189|0|55|22|7|105|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|283|11|54|25|47|146|0|180|73|32|22|34|0|0|19|9|***GROSS RENT|8,185|282|764|1,182|970|1,879|2,401|707|220|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|8,058|533|665|668|828|774|4,590|347
DATA|BX33|Longwood|***HOUSING OCCUPANCY|9,074|8,318|756|***UNITS IN STRUCTURE|9,074|192|219|584|906|620|906|5,629|18|0|***YEAR STRUCTURE BUILT|9,074|0|1,434|876|633|755|549|940|695|3,192|***ROOMS|9,074|607|127|2,253|3,262|1,920|635|153|47|70|***BEDROOMS|9,074|607|2,513|3,470|2,041|304|139|***HOUSING TENURE|8,318|650|7,668|***YEAR HOUSEHOLDER MOVED INTO UNIT|8,318|1,075|4,372|1,622|582|507|160|***VEHICLES AVAILABLE|8,318|6,019|1,816|357|126|***HOUSE HEATING FUEL |8,318|2,393|67|723|5,017|0|0|9|31|78|***SELECTED CHARACTERISTICS|8,318|133|59|512|***OCCUPANTS PER ROOM|8,318|7,330|664|324|***VALUE|650|63|25|71|0|107|295|89|0|***MORTGAGE STATUS|650|417|233|***SELECTED MONTHLY OWNER COSTS (SMOC)|417|0|0|5|32|21|109|250|233|0|14|48|0|171|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|417|77|102|9|13|216|0|233|80|16|18|48|0|34|37|0|***GROSS RENT|7,378|258|732|900|1,141|1,422|1,982|943|290|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|7,229|627|438|563|746|558|4,297|439
DATA|BX34|Melrose South-Mott Haven North|***HOUSING OCCUPANCY|13,842|12,776|1,066|***UNITS IN STRUCTURE|13,842|210|465|538|1,207|808|1,255|9,315|0|44|***YEAR STRUCTURE BUILT|13,842|123|1,743|1,078|782|1,044|1,995|2,347|1,152|3,578|***ROOMS|13,842|725|397|3,190|4,977|3,333|822|215|63|120|***BEDROOMS|13,842|768|3,825|5,403|3,373|378|95|***HOUSING TENURE|12,776|1,085|11,691|***YEAR HOUSEHOLDER MOVED INTO UNIT|12,776|1,223|6,836|2,502|1,155|616|444|***VEHICLES AVAILABLE|12,776|9,793|2,330|572|81|***HOUSE HEATING FUEL |12,776|3,946|131|1,194|7,168|0|0|10|76|251|***SELECTED CHARACTERISTICS|12,776|137|158|866|***OCCUPANTS PER ROOM|12,776|11,014|1,165|597|***VALUE|1,085|30|98|71|92|205|450|139|0|***MORTGAGE STATUS|1,085|928|157|***SELECTED MONTHLY OWNER COSTS (SMOC)|928|11|36|53|120|254|169|285|157|17|22|15|48|55|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|928|338|72|87|33|398|0|157|43|31|11|21|27|0|24|0|***GROSS RENT|11,651|554|1,810|1,365|2,266|2,157|2,719|780|40|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|11,472|1,332|913|1,338|1,583|1,312|4,994|219
DATA|BX39|Mott Haven-Port Morris|***HOUSING OCCUPANCY|19,111|17,497|1,614|***UNITS IN STRUCTURE|19,111|204|654|873|957|1,350|2,444|12,587|22|20|***YEAR STRUCTURE BUILT|19,111|123|1,259|1,173|1,162|2,435|3,383|3,583|1,432|4,561|***ROOMS|19,111|1,288|360|4,284|7,344|4,002|1,104|300|222|207|***BEDROOMS|19,111|1,311|4,409|8,040|4,293|690|368|***HOUSING TENURE|17,497|829|16,668|***YEAR HOUSEHOLDER MOVED INTO UNIT|17,497|1,231|8,658|3,873|1,622|1,342|771|***VEHICLES AVAILABLE|17,497|13,656|3,198|616|27|***HOUSE HEATING FUEL |17,497|8,290|124|1,459|7,020|0|0|0|187|417|***SELECTED CHARACTERISTICS|17,497|167|254|788|***OCCUPANTS PER ROOM|17,497|15,469|1,335|693|***VALUE|829|65|40|37|16|101|420|150|0|***MORTGAGE STATUS|829|477|352|***SELECTED MONTHLY OWNER COSTS (SMOC)|477|0|6|0|48|39|114|270|352|21|0|53|18|260|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|477|54|29|114|35|245|0|352|126|65|47|20|11|39|44|0|***GROSS RENT|16,473|841|3,148|3,298|2,884|2,482|2,909|911|195|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|16,235|1,873|1,611|1,617|2,113|1,958|7,063|433
DATA|BX98|Rikers Island1|***HOUSING OCCUPANCY|0|0|0|***UNITS IN STRUCTURE|0|0|0|0|0|0|0|0|0|0|***YEAR STRUCTURE BUILT|0|0|0|0|0|0|0|0|0|0|***ROOMS|0|0|0|0|0|0|0|0|0|0|***BEDROOMS|0|0|0|0|0|0|0|***HOUSING TENURE|0|0|0|***YEAR HOUSEHOLDER MOVED INTO UNIT|0|0|0|0|0|0|0|***VEHICLES AVAILABLE|0|0|0|0|0|***HOUSE HEATING FUEL |0|0|0|0|0|0|0|0|0|0|***SELECTED CHARACTERISTICS|0|0|0|0|***OCCUPANTS PER ROOM|0|0|0|0|***VALUE|0|0|0|0|0|0|0|0|0|***MORTGAGE STATUS|0|0|0|***SELECTED MONTHLY OWNER COSTS (SMOC)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|***GROSS RENT|0|0|0|0|0|0|0|0|0|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|0|0|0|0|0|0|0|0
DATA|BX01|Claremont-Bathgate|***HOUSING OCCUPANCY|10,526|9,847|679|***UNITS IN STRUCTURE|10,526|99|175|401|542|488|1,009|7,806|6|0|***YEAR STRUCTURE BUILT|10,526|68|916|649|425|369|1,516|2,732|710|3,141|***ROOMS|10,526|682|302|2,610|3,269|2,591|806|111|115|40|***BEDROOMS|10,526|749|3,134|3,445|2,567|553|78|***HOUSING TENURE|9,847|527|9,320|***YEAR HOUSEHOLDER MOVED INTO UNIT|9,847|836|5,138|2,044|755|706|368|***VEHICLES AVAILABLE|9,847|7,271|2,249|283|44|***HOUSE HEATING FUEL |9,847|2,627|105|755|6,180|26|0|0|53|101|***SELECTED CHARACTERISTICS|9,847|70|80|648|***OCCUPANTS PER ROOM|9,847|8,601|901|345|***VALUE|527|26|10|72|8|25|264|122|0|***MORTGAGE STATUS|527|371|156|***SELECTED MONTHLY OWNER COSTS (SMOC)|371|0|10|0|33|32|127|169|156|0|0|0|13|143|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|371|45|95|40|58|133|0|156|16|82|27|0|0|19|12|0|***GROSS RENT|9,187|626|1,202|1,592|1,587|1,710|1,853|617|133|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|8,977|811|1,036|820|1,074|1,362|3,874|343
DATA|BX06|Belmont|***HOUSING OCCUPANCY|9,324|8,319|1,005|***UNITS IN STRUCTURE|9,324|120|83|681|746|586|1,581|5,527|0|0|***YEAR STRUCTURE BUILT|9,324|0|299|331|418|607|463|1,160|439|5,607|***ROOMS|9,324|712|424|2,711|3,155|1,707|440|28|65|82|***BEDROOMS|9,324|739|3,220|3,476|1,677|121|91|***HOUSING TENURE|8,319|385|7,934|***YEAR HOUSEHOLDER MOVED INTO UNIT|8,319|1,290|4,490|1,464|611|324|140|***VEHICLES AVAILABLE|8,319|6,592|1,490|147|90|***HOUSE HEATING FUEL |8,319|1,649|78|626|5,676|63|0|0|85|142|***SELECTED CHARACTERISTICS|8,319|41|55|489|***OCCUPANTS PER ROOM|8,319|7,185|730|404|***VALUE|385|32|15|0|0|54|206|63|15|***MORTGAGE STATUS|385|235|150|***SELECTED MONTHLY OWNER COSTS (SMOC)|235|0|0|0|0|11|39|185|150|0|22|0|0|128|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|235|30|26|11|24|144|0|139|22|13|0|3|18|0|83|11|***GROSS RENT|7,769|241|491|728|709|1,685|3,139|776|165|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|7,559|391|535|554|504|705|4,870|375
DATA|BX17|East Tremont|***HOUSING OCCUPANCY|15,495|14,245|1,250|***UNITS IN STRUCTURE|15,495|304|410|867|1,078|585|944|11,227|52|28|***YEAR STRUCTURE BUILT|15,495|37|1,685|1,408|1,226|2,065|1,492|1,492|1,092|4,998|***ROOMS|15,495|828|413|4,522|4,510|3,477|1,171|176|270|128|***BEDROOMS|15,495|916|4,896|5,282|3,750|566|85|***HOUSING TENURE|14,245|1,031|13,214|***YEAR HOUSEHOLDER MOVED INTO UNIT|14,245|1,202|8,122|2,624|1,414|717|166|***VEHICLES AVAILABLE|14,245|10,797|2,963|437|48|***HOUSE HEATING FUEL |14,245|3,596|135|1,482|8,740|19|39|0|61|173|***SELECTED CHARACTERISTICS|14,245|144|106|1,256|***OCCUPANTS PER ROOM|14,245|12,572|1,048|625|***VALUE|1,031|87|90|33|24|111|464|211|11|***MORTGAGE STATUS|1,031|652|379|***SELECTED MONTHLY OWNER COSTS (SMOC)|652|0|11|7|11|88|163|372|379|76|44|23|10|226|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|652|77|54|46|43|432|0|379|144|71|48|45|23|0|48|0|***GROSS RENT|12,959|618|1,226|1,548|1,600|2,703|3,767|1,497|255|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|12,636|1,106|1,051|858|1,168|1,239|7,214|578
DATA|BX35|Morrisania-Melrose|***HOUSING OCCUPANCY|13,782|12,475|1,307|***UNITS IN STRUCTURE|13,782|143|499|777|1,494|644|1,379|8,816|30|0|***YEAR STRUCTURE BUILT|13,782|199|2,576|1,468|796|467|995|2,242|956|4,083|***ROOMS|13,782|1,017|308|2,990|5,522|2,725|846|93|99|182|***BEDROOMS|13,782|1,061|3,186|6,039|2,843|423|230|***HOUSING TENURE|12,475|1,142|11,333|***YEAR HOUSEHOLDER MOVED INTO UNIT|12,475|1,196|6,919|2,707|700|594|359|***VEHICLES AVAILABLE|12,475|9,140|2,784|432|119|***HOUSE HEATING FUEL |12,475|3,796|199|1,224|7,077|0|0|0|79|100|***SELECTED CHARACTERISTICS|12,475|184|212|1,038|***OCCUPANTS PER ROOM|12,475|11,001|1,115|359|***VALUE|1,142|88|29|94|29|252|491|141|18|***MORTGAGE STATUS|1,142|811|331|***SELECTED MONTHLY OWNER COSTS (SMOC)|811|32|0|0|71|114|90|504|331|31|21|7|6|266|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|790|85|75|81|62|487|21|331|71|86|72|14|15|0|73|0|***GROSS RENT|11,153|250|1,282|1,261|1,738|2,690|2,860|1,072|180|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|10,966|1,028|988|932|1,536|1,063|5,419|367
DATA|BX75|Crotona Park East|***HOUSING OCCUPANCY|7,425|6,912|513|***UNITS IN STRUCTURE|7,425|211|255|599|712|395|526|4,727|0|0|***YEAR STRUCTURE BUILT|7,425|40|768|885|783|598|689|538|641|2,483|***ROOMS|7,425|495|217|2,113|2,325|1,475|521|130|88|61|***BEDROOMS|7,425|505|2,481|2,566|1,530|269|74|***HOUSING TENURE|6,912|767|6,145|***YEAR HOUSEHOLDER MOVED INTO UNIT|6,912|646|3,676|1,433|787|270|100|***VEHICLES AVAILABLE|6,912|4,878|1,682|280|72|***HOUSE HEATING FUEL |6,912|1,861|65|752|4,156|0|0|13|50|15|***SELECTED CHARACTERISTICS|6,912|45|155|699|***OCCUPANTS PER ROOM|6,912|6,031|532|349|***VALUE|767|34|11|32|28|101|441|120|0|***MORTGAGE STATUS|767|551|216|***SELECTED MONTHLY OWNER COSTS (SMOC)|551|0|0|10|0|62|106|373|216|0|34|5|20|157|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|551|19|76|47|21|388|0|216|66|28|35|28|6|16|37|0|***GROSS RENT|6,062|238|648|828|1,116|1,243|1,637|352|83|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|5,922|572|686|400|455|669|3,140|223
DATA|BX14|East Concourse-Concourse Village|***HOUSING OCCUPANCY|22,977|21,343|1,634|***UNITS IN STRUCTURE|22,977|261|282|750|1,480|634|1,636|17,887|0|47|***YEAR STRUCTURE BUILT|22,977|12|1,043|508|1,076|1,505|2,939|2,927|2,268|10,699|***ROOMS|22,977|1,864|857|6,932|7,645|3,964|1,007|503|70|135|***BEDROOMS|22,977|1,966|8,403|8,171|3,637|598|202|***HOUSING TENURE|21,343|2,321|19,022|***YEAR HOUSEHOLDER MOVED INTO UNIT|21,343|2,036|10,796|4,253|2,213|1,411|634|***VEHICLES AVAILABLE|21,343|15,820|4,573|776|174|***HOUSE HEATING FUEL |21,343|4,962|180|1,368|14,389|0|0|0|157|287|***SELECTED CHARACTERISTICS|21,343|107|148|1,505|***OCCUPANTS PER ROOM|21,343|18,160|1,903|1,280|***VALUE|2,321|674|197|152|99|374|485|325|15|***MORTGAGE STATUS|2,321|847|1,474|***SELECTED MONTHLY OWNER COSTS (SMOC)|847|27|44|6|137|129|42|462|1,474|649|26|96|10|693|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|847|281|43|154|13|356|0|1,462|779|122|121|128|82|39|191|12|***GROSS RENT|18,596|262|1,527|1,392|2,003|4,270|7,598|1,544|426|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|18,333|1,610|1,694|1,751|2,094|1,900|9,284|689
DATA|BX26|Highbridge|***HOUSING OCCUPANCY|13,474|12,711|763|***UNITS IN STRUCTURE|13,474|264|133|720|622|486|771|10,459|8|11|***YEAR STRUCTURE BUILT|13,474|17|1,434|819|517|766|978|1,549|1,060|6,334|***ROOMS|13,474|811|422|4,293|4,648|1,822|933|223|244|78|***BEDROOMS|13,474|855|5,420|4,821|1,989|325|64|***HOUSING TENURE|12,711|605|12,106|***YEAR HOUSEHOLDER MOVED INTO UNIT|12,711|1,006|7,017|2,720|1,100|714|154|***VEHICLES AVAILABLE|12,711|9,090|3,181|372|68|***HOUSE HEATING FUEL |12,711|3,290|103|1,022|7,891|20|0|0|173|212|***SELECTED CHARACTERISTICS|12,711|96|118|404|***OCCUPANTS PER ROOM|12,711|10,777|1,280|654|***VALUE|605|0|98|9|37|77|183|201|0|***MORTGAGE STATUS|605|358|247|***SELECTED MONTHLY OWNER COSTS (SMOC)|358|0|30|0|0|96|67|165|247|35|15|0|56|141|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|358|64|50|32|46|166|0|247|62|39|14|13|15|18|86|0|***GROSS RENT|11,731|227|795|1,034|1,390|3,554|3,842|889|375|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|11,545|1,066|1,123|974|1,321|1,152|5,909|561
DATA|BX63|West Concourse|***HOUSING OCCUPANCY|13,596|12,795|801|***UNITS IN STRUCTURE|13,596|73|50|298|355|311|291|12,103|72|43|***YEAR STRUCTURE BUILT|13,596|0|550|977|460|555|676|1,259|1,574|7,545|***ROOMS|13,596|1,097|556|4,686|4,684|1,827|500|98|90|58|***BEDROOMS|13,596|1,189|6,158|4,746|1,322|148|33|***HOUSING TENURE|12,795|371|12,424|***YEAR HOUSEHOLDER MOVED INTO UNIT|12,795|865|6,829|2,846|1,254|836|165|***VEHICLES AVAILABLE|12,795|9,675|2,708|394|18|***HOUSE HEATING FUEL |12,795|2,975|108|877|8,560|0|11|0|153|111|***SELECTED CHARACTERISTICS|12,795|150|177|638|***OCCUPANTS PER ROOM|12,795|9,925|1,649|1,221|***VALUE|371|12|11|61|37|134|72|44|0|***MORTGAGE STATUS|371|214|157|***SELECTED MONTHLY OWNER COSTS (SMOC)|214|0|0|26|50|28|13|97|157|0|0|40|35|82|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|214|61|37|13|0|103|0|157|53|0|23|20|12|0|49|0|***GROSS RENT|12,294|70|612|618|1,245|3,443|5,452|854|130|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|12,149|867|1,203|1,340|1,364|1,149|6,226|275
DATA|BX36|University Heights-Morris Heights|***HOUSING OCCUPANCY|19,551|17,631|1,920|***UNITS IN STRUCTURE|19,551|390|176|1,002|1,138|484|777|15,484|0|100|***YEAR STRUCTURE BUILT|19,551|27|957|961|1,116|2,584|1,202|1,887|1,311|9,506|***ROOMS|19,551|1,113|453|6,011|6,637|3,683|1,094|179|145|236|***BEDROOMS|19,551|1,154|7,099|7,450|3,217|396|235|***HOUSING TENURE|17,631|874|16,757|***YEAR HOUSEHOLDER MOVED INTO UNIT|17,631|1,648|9,297|3,624|1,913|864|285|***VEHICLES AVAILABLE|17,631|12,474|4,403|591|163|***HOUSE HEATING FUEL |17,631|5,448|153|1,604|10,076|25|1|9|140|175|***SELECTED CHARACTERISTICS|17,631|139|234|580|***OCCUPANTS PER ROOM|17,631|15,006|1,690|935|***VALUE|874|33|22|24|71|52|371|301|0|***MORTGAGE STATUS|874|637|237|***SELECTED MONTHLY OWNER COSTS (SMOC)|637|0|0|1|0|53|59|524|237|15|32|0|22|168|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|624|31|27|26|74|466|13|237|66|30|11|18|24|10|78|0|***GROSS RENT|16,521|422|1,210|1,883|2,174|3,693|5,806|1,333|236|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|16,214|1,478|1,479|1,596|1,983|1,498|8,180|543
