DESC (0)|NTACODE (1)|NTANAME (2)|***HOUSEHOLD BY TYPE (3)|TOTAL HOUSEHOLDS (4)|  FAMILY HOUSEHOLDS (FAMILIES) (5)|      WITH OWN CHILDREN UNDER 18 YEARS (6)|    MARRIED-COUPLE FAMILY (7)|      WITH OWN CHILDREN UNDER 18 YEARS (8)|    MALE HOUSEHLDR, NO WIFE PRESENT, FAMILY (9)|      WITH OWN CHILDREN UNDER 18 YEARS (10)|    FEMALE HOUSEHLDR, NO HUSBAND PRESENT, FAMILY (11)|      WITH OWN CHILDREN UNDER 18 YEARS (12)|  NONFAMILY HOUSEHOLDS (13)|    HOUSEHOLDER LIVING ALONE (14)|       65 YEARS AND OVER (15)|  HOUSEHOLDS WITH ONE OR MORE PEOPLE UNDER 18 YEARS (16)|  HOUSEHOLDS WITH ONE OR MORE PEOPLE 65 YEARS AND OVER (17)|  AVERAGE HOUSEHOLD SIZE (18)|  AVERAGE FAMILY SIZE (19)|***RELATIONSHIP (20)|POPULATION IN HOUSEHOLDS (21)|  HOUSEHOLDER (22)|  SPOUSE (23)|  CHILD (24)|  OTHER RELATIVES (25)|  NONRELATIVES (26)|  NONRELATIVES - UNMARRIED PARTNER (27)|***MARITAL STATUS (28)|MALES 15 YEARS AND OVER (29)|  NEVER MARRIED (30)|  NOW MARRIED, EXCEPT SEPARATED (31)|  SEPARATED (32)|  WIDOWED (33)|  DIVORCED (34)|FEMALES 15 YEARS AND OVER (35)|  NEVER MARRIED (36)|  NOW MARRIED, EXCEPT SEPARATED (37)|  SEPARATED (38)|  WIDOWED (39)|  DIVORCED (40)|***GRANDPARENTS (41)|  NUMBER OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS (42)|  RESPONSIBLE FOR GRANDCHILDREN (43)|      LESS THAN 1 YEAR (44)|      1 OR 2 YEARS (45)|      3 OR 4 YEARS (46)|      5 OR MORE YEARS (47)|NUMBER OF GRANDPARENTS RESPONSIBLE FOR OWN GRANDCHILDREN UNDER 18 YEARS (48)|  WHO ARE FEMALE (49)|  WHO ARE MARRIED (50)|***SCHOOL ENROLLMENT (51)|POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL (52)|  NURSERY SCHOOL, PRESCHOOL (53)|  KINDERGARTEN (54)|  ELEMENTARY SCHOOL (GRADES 1-8) (55)|  HIGH SCHOOL (GRADES 9-12) (56)|  COLLEGE OR GRADUATE SCHOOL (57)|***EDUCATIONAL ATTAINMENT (58)|POPULATION 25 YEARS AND OVER (59)|  LESS THAN 9TH GRADE (60)|  9TH TO 12TH GRADE, NO DIPLOMA (61)|  HIGH SCHOOL GRADUATE (INCLUDES EQUIVALENCY) (62)|  SOME COLLEGE, NO DEGREE (63)|  ASSOCIATE'S DEGREE (64)|  BACHELOR'S DEGREE (65)|  GRADUATE OR PROFESSIONAL DEGREE (66)|  PERCENT HIGH SCHOOL GRADUATE OR HIGHER (67)|  PERCENT BACHELOR'S DEGREE OR HIGHER (68)|***VETERAN STATUS (69)|CIVILIAN POPULATION 18 YEARS AND OVER (70)|  CIVILIAN VETERANS (71)|***RESIDENCE 1 YEAR AGO (72)|POPULATION 1 YEAR AND OVER (73)|  SAME HOUSE (74)|  DIFFERENT HOUSE IN THE U.S. (75)|    SAME COUNTY (76)|    DIFFERENT COUNTY (77)|      SAME STATE (78)|      DIFFERENT STATE (79)|  ABROAD (80)|***PLACE OF BIRTH (81)|TOTAL POPULATION (82)|  NATIVE (83)|    BORN IN UNITED STATES (84)|      STATE OF RESIDENCE (85)|      DIFFERENT STATE (86)|    BORN IN PUERTO RICO, U.S. ISLAND AREAS, OR BORN ABROAD TO AMERICAN PARENT(S) (87)|  FOREIGN BORN (88)|***U.S. CITIZENSHIP STATUS (89)|FOREIGN-BORN POPULATION (90)|  NATURALIZED U.S. CITIZEN (91)|  NOT A U.S. CITIZEN (92)|***YEAR OF ENTRY (93)|POPULATION BORN OUTSIDE THE U.S. (94)|  NATIVE (95)|    ENTERED 2010 OR LATER (96)|    ENTERED BEFORE 2010 (97)|  FOREIGN BORN (98)|    ENTERED 2010 OR LATER (99)|    ENTERED BEFORE 2010 (100)|***WORLD REGION OF BIRTH OF FOREIGN BORN (101)|FOREIGN-BORN POPULATION, EXCLUDING POPULATION BORN AT SEA (102)|  EUROPE (103)|  ASIA (104)|  AFRICA (105)|  OCEANIA (106)|  LATIN AMERICA (107)|  NORTHERN AMERICA (108)|***LANGUAGE SPOKEN AT HOME (109)|POPULATION 5 YEARS AND OVER (110)|  ENGLISH ONLY (111)|  LANGUAGE OTHER THAN ENGLISH (112)|      SPEAK ENGLISH LESS THAN "VERY WELL" (113)|    SPANISH (114)|      SPEAK ENGLISH LESS THAN "VERY WELL" (115)|    OTHER INDO-EUROPEAN LANGUAGES (116)|      SPEAK ENGLISH LESS THAN "VERY WELL" (117)|    ASIAN AND PACIFIC ISLANDER LANGUAGES (118)|      SPEAK ENGLISH LESS THAN "VERY WELL" (119)|    OTHER LANGUAGES (120)|      SPEAK ENGLISH LESS THAN "VERY WELL" (121)|***ANCESTRY (122)|TOTAL POPULATION (123)|  AMERICAN (124)|  ARAB (125)|  CZECH (126)|  DANISH (127)|  DUTCH (128)|  ENGLISH (129)|  FRENCH (EXCEPT BASQUE) (130)|  FRENCH CANADIAN (131)|  GERMAN (132)|  GREEK (133)|  HUNGARIAN (134)|  IRISH (135)|  ITALIAN (136)|  LITHUANIAN (137)|  NORWEGIAN (138)|  POLISH (139)|  PORTUGUESE (140)|  RUSSIAN (141)|  SCOTCH-IRISH (142)|  SCOTTISH (143)|  SLOVAK (144)|  SUBSAHARAN AFRICAN (145)|  SWISS (146)|  UKRAINIAN (147)|  WELSH (148)|  WEST INDIAN (EXCLUDING HISPANIC ORIGIN GROUPS) (149)
DATA|BK79|Ocean Hill|***HOUSEHOLD BY TYPE|11,686|7,869|4,500|2,696|1,478|1,061|533|4,112|2,489|3,817|3,517|1,291|5,148|2,745|2.7|3.3|***RELATIONSHIP|31,422|11,686|2,722|11,599|4,170|1,245|513|***MARITAL STATUS|10,441|5,279|3,557|425|256|924|13,513|6,640|3,405|1,145|1,248|1,075|***GRANDPARENTS|1,206|458|70|244|77|67|458|349|319|***SCHOOL ENROLLMENT|9,089|519|609|4,275|2,099|1,587|***EDUCATIONAL ATTAINMENT|19,010|1,621|3,226|6,448|3,375|1,666|2,114|560|-|-|***VETERAN STATUS|22,549|1,005|***RESIDENCE 1 YEAR AGO|31,245|28,154|3,059|2,264|795|594|201|32|***PLACE OF BIRTH|31,831|23,422|22,581|19,240|3,341|841|8,409|***U.S. CITIZENSHIP STATUS|8,409|4,672|3,737|***YEAR OF ENTRY|9,250|841|10|831|8,409|103|8,306|***WORLD REGION OF BIRTH OF FOREIGN BORN|8,409|203|164|821|0|7,220|1|***LANGUAGE SPOKEN AT HOME|29,171|23,022|6,149|1,983|4,464|1,427|856|255|142|122|687|179|***ANCESTRY|31,831|593|144|0|0|0|172|35|0|227|0|0|55|107|0|0|5|44|29|0|0|0|954|0|0|0|6,626
DATA|BK81|Brownsville|***HOUSEHOLD BY TYPE|20,316|14,001|7,508|3,360|1,595|1,393|545|9,248|5,368|6,315|5,861|2,125|9,070|4,779|2.6|3.3|***RELATIONSHIP|53,544|20,316|3,392|21,171|7,053|1,612|747|***MARITAL STATUS|15,412|8,984|4,628|453|501|846|26,131|15,267|4,907|1,999|2,250|1,708|***GRANDPARENTS|2,043|910|117|230|63|500|910|685|556|***SCHOOL ENROLLMENT|16,890|1,170|1,059|7,344|4,328|2,989|***EDUCATIONAL ATTAINMENT|32,125|3,046|5,687|12,198|5,844|2,169|2,263|918|-|-|***VETERAN STATUS|38,497|780|***RESIDENCE 1 YEAR AGO|54,501|49,901|4,464|3,483|981|644|337|136|***PLACE OF BIRTH|55,412|40,795|39,007|34,314|4,693|1,788|14,617|***U.S. CITIZENSHIP STATUS|14,617|7,890|6,727|***YEAR OF ENTRY|16,405|1,788|43|1,745|14,617|492|14,125|***WORLD REGION OF BIRTH OF FOREIGN BORN|14,617|53|472|332|21|13,739|0|***LANGUAGE SPOKEN AT HOME|50,492|40,304|10,188|4,012|8,176|3,307|1,398|387|294|230|320|88|***ANCESTRY|55,412|1,625|20|0|0|0|161|31|0|77|1|55|88|263|0|0|13|25|35|0|0|0|2,503|0|0|0|12,454
DATA|BK85|East New York (Pennsylvania Ave)|***HOUSEHOLD BY TYPE|9,841|7,255|4,267|2,378|1,295|636|168|4,241|2,804|2,586|2,131|538|5,122|1,658|3.0|3.5|***RELATIONSHIP|29,146|9,841|2,371|12,060|3,554|1,320|502|***MARITAL STATUS|9,225|5,107|2,829|389|120|780|12,712|6,842|3,034|808|862|1,166|***GRANDPARENTS|1,170|407|8|144|69|186|407|309|241|***SCHOOL ENROLLMENT|10,244|844|525|4,308|2,531|2,036|***EDUCATIONAL ATTAINMENT|16,192|2,001|2,967|5,785|2,782|1,039|1,153|465|-|-|***VETERAN STATUS|19,890|345|***RESIDENCE 1 YEAR AGO|29,489|27,112|2,295|1,682|613|416|197|82|***PLACE OF BIRTH|29,854|19,882|18,515|16,821|1,694|1,367|9,972|***U.S. CITIZENSHIP STATUS|9,972|5,336|4,636|***YEAR OF ENTRY|11,339|1,367|42|1,325|9,972|184|9,788|***WORLD REGION OF BIRTH OF FOREIGN BORN|9,972|146|401|327|0|9,098|0|***LANGUAGE SPOKEN AT HOME|27,168|19,120|8,048|2,867|6,714|2,381|702|191|251|148|381|147|***ANCESTRY|29,854|529|283|0|0|0|61|24|0|5|9|0|25|87|0|0|0|0|13|0|0|0|568|0|0|0|5,386
DATA|BK91|East Flatbush-Farragut|***HOUSEHOLD BY TYPE|18,217|12,779|5,015|5,916|2,406|1,575|614|5,288|1,995|5,438|4,688|1,390|6,587|5,336|2.9|3.5|***RELATIONSHIP|52,544|18,217|5,883|16,682|9,258|2,504|1,088|***MARITAL STATUS|18,791|8,106|7,725|815|618|1,527|24,556|11,433|7,377|1,210|1,901|2,635|***GRANDPARENTS|2,673|784|84|256|92|352|784|627|519|***SCHOOL ENROLLMENT|14,342|739|606|4,806|3,342|4,849|***EDUCATIONAL ATTAINMENT|36,094|1,665|2,685|13,313|6,713|3,327|5,720|2,671|-|-|***VETERAN STATUS|41,228|1,093|***RESIDENCE 1 YEAR AGO|52,086|49,089|2,856|2,566|290|109|181|141|***PLACE OF BIRTH|52,657|25,148|24,474|22,122|2,352|674|27,509|***U.S. CITIZENSHIP STATUS|27,509|17,940|9,569|***YEAR OF ENTRY|28,183|674|0|674|27,509|452|27,057|***WORLD REGION OF BIRTH OF FOREIGN BORN|27,509|282|303|771|0|26,080|73|***LANGUAGE SPOKEN AT HOME|49,588|39,361|10,227|4,750|2,582|723|6,824|3,695|149|37|672|295|***ANCESTRY|52,657|900|115|0|0|71|245|144|0|184|0|9|212|236|0|3|49|233|9|0|43|0|5,348|0|0|0|27,140
DATA|BK95|Erasmus|***HOUSEHOLD BY TYPE|10,222|6,973|3,192|2,878|1,443|815|201|3,280|1,548|3,249|2,859|688|4,191|2,324|2.9|3.6|***RELATIONSHIP|29,505|10,222|2,884|9,622|5,370|1,407|469|***MARITAL STATUS|10,458|5,082|3,897|491|234|754|13,401|6,280|3,794|789|852|1,686|***GRANDPARENTS|1,245|525|93|59|102|271|525|389|239|***SCHOOL ENROLLMENT|8,872|560|353|3,156|2,025|2,778|***EDUCATIONAL ATTAINMENT|19,266|1,683|2,248|7,110|3,816|1,237|2,259|913|-|-|***VETERAN STATUS|22,501|348|***RESIDENCE 1 YEAR AGO|29,633|27,121|2,160|1,813|347|341|6|352|***PLACE OF BIRTH|29,933|13,139|12,702|10,957|1,745|437|16,794|***U.S. CITIZENSHIP STATUS|16,794|8,564|8,230|***YEAR OF ENTRY|17,231|437|0|437|16,794|280|16,514|***WORLD REGION OF BIRTH OF FOREIGN BORN|16,794|94|732|510|22|15,286|150|***LANGUAGE SPOKEN AT HOME|27,828|19,056|8,772|3,645|2,487|1,083|5,640|2,347|275|161|370|54|***ANCESTRY|29,933|551|33|0|0|0|32|15|0|149|0|0|50|11|11|0|7|0|0|0|39|0|1,470|15|6|0|13,614
DATA|BK96|Rugby-Remsen Village|***HOUSEHOLD BY TYPE|20,055|14,302|6,108|6,220|2,457|1,589|504|6,493|3,147|5,753|5,084|1,363|7,585|5,334|2.8|3.3|***RELATIONSHIP|55,533|20,055|6,233|18,237|8,781|2,227|764|***MARITAL STATUS|19,791|8,982|8,011|911|518|1,369|26,113|11,781|7,740|1,750|1,848|2,994|***GRANDPARENTS|2,508|962|118|227|347|270|962|652|740|***SCHOOL ENROLLMENT|14,742|925|797|5,091|3,352|4,577|***EDUCATIONAL ATTAINMENT|38,160|2,897|3,781|13,841|7,720|3,326|4,550|2,045|-|-|***VETERAN STATUS|43,691|1,216|***RESIDENCE 1 YEAR AGO|55,468|51,445|3,586|2,962|624|406|218|437|***PLACE OF BIRTH|56,277|27,437|26,669|23,129|3,540|768|28,840|***U.S. CITIZENSHIP STATUS|28,840|17,696|11,144|***YEAR OF ENTRY|29,608|768|11|757|28,840|583|28,257|***WORLD REGION OF BIRTH OF FOREIGN BORN|28,840|477|712|541|0|27,051|59|***LANGUAGE SPOKEN AT HOME|52,387|45,015|7,372|3,198|2,303|791|3,952|1,874|481|332|636|201|***ANCESTRY|56,277|1,520|201|1|0|18|298|102|0|0|0|0|31|162|0|1|17|35|26|0|42|0|5,379|0|0|0|28,100
DATA|BK45|Georgetown-Marine Park-Bergen Beach-Mill Basin|***HOUSEHOLD BY TYPE|16,432|12,613|5,852|9,904|4,669|688|239|2,021|944|3,819|3,558|1,607|6,317|4,939|2.9|3.5|***RELATIONSHIP|48,331|16,432|9,951|17,318|3,766|864|514|***MARITAL STATUS|17,848|5,609|10,844|287|382|726|20,151|5,096|10,628|512|2,307|1,608|***GRANDPARENTS|1,066|291|63|46|88|94|291|170|239|***SCHOOL ENROLLMENT|13,707|1,100|758|5,397|2,441|4,011|***EDUCATIONAL ATTAINMENT|32,108|1,126|1,608|9,143|5,984|2,885|6,727|4,635|-|-|***VETERAN STATUS|36,108|1,821|***RESIDENCE 1 YEAR AGO|47,688|45,096|2,492|2,129|363|108|255|100|***PLACE OF BIRTH|48,351|35,910|35,322|33,830|1,492|588|12,441|***U.S. CITIZENSHIP STATUS|12,441|9,777|2,664|***YEAR OF ENTRY|13,029|588|0|588|12,441|143|12,298|***WORLD REGION OF BIRTH OF FOREIGN BORN|12,441|5,621|2,845|206|9|3,712|48|***LANGUAGE SPOKEN AT HOME|44,739|30,232|14,507|5,757|2,436|745|8,664|3,710|1,247|516|2,160|786|***ANCESTRY|48,351|3,637|939|89|0|25|429|339|97|1,659|824|264|5,077|10,567|221|109|1,568|40|3,188|20|112|80|106|10|855|35|2,847
DATA|BK50|Canarsie|***HOUSEHOLD BY TYPE|27,669|21,561|10,244|10,788|5,200|2,134|777|8,639|4,267|6,108|5,386|1,363|11,999|5,661|3.1|3.5|***RELATIONSHIP|84,640|27,669|10,837|30,829|12,513|2,792|1,006|***MARITAL STATUS|30,663|14,437|13,158|807|611|1,650|38,957|17,435|13,167|1,839|2,799|3,717|***GRANDPARENTS|3,312|934|198|155|200|381|934|683|541|***SCHOOL ENROLLMENT|27,709|1,332|1,333|9,093|6,328|9,623|***EDUCATIONAL ATTAINMENT|55,379|3,547|4,693|17,016|11,129|5,411|8,812|4,771|-|-|***VETERAN STATUS|64,820|1,935|***RESIDENCE 1 YEAR AGO|85,193|80,339|4,308|3,290|1,018|554|464|546|***PLACE OF BIRTH|86,160|45,846|44,094|40,138|3,956|1,752|40,314|***U.S. CITIZENSHIP STATUS|40,314|26,123|14,191|***YEAR OF ENTRY|42,066|1,752|44|1,708|40,314|1,021|39,293|***WORLD REGION OF BIRTH OF FOREIGN BORN|40,314|946|1,893|1,380|0|35,910|185|***LANGUAGE SPOKEN AT HOME|81,155|57,780|23,375|10,653|5,886|2,065|13,905|6,598|2,010|1,273|1,574|717|***ANCESTRY|86,160|5,960|311|10|0|35|533|256|0|381|6|56|477|1,435|0|14|470|26|344|4|24|4|3,914|0|55|0|39,595
DATA|BK58|Flatlands|***HOUSEHOLD BY TYPE|23,279|17,775|7,780|9,931|4,374|1,347|559|6,497|2,847|5,504|4,965|1,711|9,233|6,515|3.0|3.6|***RELATIONSHIP|70,740|23,279|9,877|26,109|9,483|1,992|685|***MARITAL STATUS|25,641|11,123|11,990|573|653|1,302|31,662|12,962|11,398|1,359|2,609|3,334|***GRANDPARENTS|2,558|999|166|181|233|419|999|731|554|***SCHOOL ENROLLMENT|21,667|1,240|871|7,463|4,641|7,452|***EDUCATIONAL ATTAINMENT|46,254|2,541|3,613|14,572|8,490|4,457|8,108|4,473|-|-|***VETERAN STATUS|53,978|1,552|***RESIDENCE 1 YEAR AGO|70,221|66,313|3,521|2,783|738|361|377|387|***PLACE OF BIRTH|70,872|40,342|39,236|35,781|3,455|1,106|30,530|***U.S. CITIZENSHIP STATUS|30,530|21,262|9,268|***YEAR OF ENTRY|31,636|1,106|19|1,087|30,530|536|29,994|***WORLD REGION OF BIRTH OF FOREIGN BORN|30,530|1,236|1,857|603|7|26,750|77|***LANGUAGE SPOKEN AT HOME|66,568|46,593|19,975|10,552|4,503|2,257|12,999|7,360|701|399|1,772|536|***ANCESTRY|70,872|4,053|490|23|0|192|309|182|14|627|181|108|1,303|1,877|86|38|828|16|526|14|38|6|1,441|0|289|0|26,984
DATA|BX27|Hunts Point|***HOUSEHOLD BY TYPE|8,877|6,064|3,659|1,766|869|720|286|3,578|2,504|2,813|2,501|1,130|4,099|1,953|3.0|3.6|***RELATIONSHIP|26,290|8,877|1,773|11,252|2,771|1,617|608|***MARITAL STATUS|9,635|5,905|2,288|553|186|703|10,611|5,620|2,303|916|694|1,078|***GRANDPARENTS|774|369|125|60|50|134|369|319|195|***SCHOOL ENROLLMENT|8,798|466|563|4,289|1,956|1,524|***EDUCATIONAL ATTAINMENT|15,519|3,076|4,049|3,980|2,139|942|1,032|301|-|-|***VETERAN STATUS|18,891|551|***RESIDENCE 1 YEAR AGO|27,167|23,121|3,844|2,489|1,355|1,107|248|202|***PLACE OF BIRTH|27,562|20,284|16,988|15,549|1,439|3,296|7,278|***U.S. CITIZENSHIP STATUS|7,278|2,588|4,690|***YEAR OF ENTRY|10,574|3,296|19|3,277|7,278|120|7,158|***WORLD REGION OF BIRTH OF FOREIGN BORN|7,278|45|92|462|0|6,679|0|***LANGUAGE SPOKEN AT HOME|25,185|8,066|17,119|9,068|16,199|8,711|368|118|110|56|442|183|***ANCESTRY|27,562|185|51|17|0|20|56|99|0|284|0|0|131|117|0|0|14|0|0|14|8|0|980|0|0|0|634
DATA|BX33|Longwood|***HOUSEHOLD BY TYPE|8,318|5,574|3,599|1,443|845|621|406|3,510|2,348|2,744|2,457|882|4,095|1,699|3.0|3.7|***RELATIONSHIP|24,546|8,318|1,424|10,853|2,678|1,273|706|***MARITAL STATUS|8,177|4,797|2,389|311|105|575|10,324|5,273|2,120|850|732|1,349|***GRANDPARENTS|874|297|87|58|9|143|297|247|96|***SCHOOL ENROLLMENT|8,219|495|544|3,837|1,829|1,514|***EDUCATIONAL ATTAINMENT|14,150|3,626|2,600|3,705|2,190|924|744|361|-|-|***VETERAN STATUS|17,179|329|***RESIDENCE 1 YEAR AGO|25,154|21,294|3,625|2,464|1,161|1,007|154|235|***PLACE OF BIRTH|25,542|18,187|15,335|13,942|1,393|2,852|7,355|***U.S. CITIZENSHIP STATUS|7,355|2,864|4,491|***YEAR OF ENTRY|10,207|2,852|8|2,844|7,355|322|7,033|***WORLD REGION OF BIRTH OF FOREIGN BORN|7,355|45|223|471|11|6,605|0|***LANGUAGE SPOKEN AT HOME|23,221|7,220|16,001|8,146|14,816|7,687|689|169|196|152|300|138|***ANCESTRY|25,542|364|69|0|0|7|29|17|9|23|0|0|109|470|0|0|13|11|0|0|15|0|772|7|8|0|818
DATA|BX34|Melrose South-Mott Haven North|***HOUSEHOLD BY TYPE|12,776|8,506|4,946|2,374|1,186|875|388|5,257|3,372|4,270|3,878|1,337|5,989|2,594|3.0|3.8|***RELATIONSHIP|38,443|12,776|2,355|15,883|5,445|1,984|860|***MARITAL STATUS|11,293|6,393|3,323|473|226|878|16,608|8,596|3,651|1,435|1,273|1,653|***GRANDPARENTS|1,570|628|115|115|45|353|628|516|286|***SCHOOL ENROLLMENT|12,904|711|957|6,197|2,577|2,462|***EDUCATIONAL ATTAINMENT|21,347|4,914|4,426|5,651|3,492|962|1,458|444|-|-|***VETERAN STATUS|26,274|547|***RESIDENCE 1 YEAR AGO|38,425|33,383|4,539|3,379|1,160|636|524|503|***PLACE OF BIRTH|39,020|26,837|22,430|20,371|2,059|4,407|12,183|***U.S. CITIZENSHIP STATUS|12,183|3,722|8,461|***YEAR OF ENTRY|16,590|4,407|17|4,390|12,183|588|11,595|***WORLD REGION OF BIRTH OF FOREIGN BORN|12,183|72|268|1,095|0|10,748|0|***LANGUAGE SPOKEN AT HOME|35,493|11,062|24,431|11,237|22,567|10,544|499|206|178|75|1,187|412|***ANCESTRY|39,020|317|139|0|0|13|47|22|0|151|0|0|250|293|0|0|103|0|0|0|0|0|1,697|0|0|0|1,128
DATA|BX39|Mott Haven-Port Morris|***HOUSEHOLD BY TYPE|17,497|11,940|6,882|3,378|1,862|1,417|750|7,145|4,270|5,557|4,899|2,137|7,921|4,047|2.9|3.6|***RELATIONSHIP|51,176|17,497|3,372|20,970|6,113|3,224|1,177|***MARITAL STATUS|18,598|11,532|4,884|728|309|1,145|20,844|11,063|4,260|1,672|1,723|2,126|***GRANDPARENTS|1,390|601|94|93|142|272|601|424|283|***SCHOOL ENROLLMENT|15,732|930|974|6,760|4,405|2,663|***EDUCATIONAL ATTAINMENT|29,781|7,076|6,303|8,129|3,910|1,757|1,995|611|-|-|***VETERAN STATUS|36,388|1,029|***RESIDENCE 1 YEAR AGO|51,099|45,770|4,950|3,465|1,485|1,078|407|379|***PLACE OF BIRTH|52,132|37,884|31,142|28,584|2,558|6,742|14,248|***U.S. CITIZENSHIP STATUS|14,248|4,180|10,068|***YEAR OF ENTRY|20,990|6,742|58|6,684|14,248|422|13,826|***WORLD REGION OF BIRTH OF FOREIGN BORN|14,248|207|346|693|0|13,002|0|***LANGUAGE SPOKEN AT HOME|47,487|15,855|31,632|18,733|30,295|17,819|476|291|165|134|696|489|***ANCESTRY|52,132|670|101|0|0|112|76|64|13|74|44|118|358|310|0|0|22|40|67|4|10|12|885|0|0|4|798
DATA|BX98|Rikers Island1|***HOUSEHOLD BY TYPE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-|-|***RELATIONSHIP|0|0|0|0|0|0|0|***MARITAL STATUS|8,821|7,440|1,145|97|34|105|920|775|80|6|16.0|43|***GRANDPARENTS|0|0|0|0|0|0|0|0|0|***SCHOOL ENROLLMENT|0|0|0|0|0|0|***EDUCATIONAL ATTAINMENT|6,215|654|3,631|1,063|646|94|115|12|-|-|***VETERAN STATUS|9,146|129|***RESIDENCE 1 YEAR AGO|9,741|1,643|8,098|2,065|6,033|5,722|311|0|***PLACE OF BIRTH|9,741|8,196|7,287|6,530|757|909|1,545|***U.S. CITIZENSHIP STATUS|1,545|386|1,159|***YEAR OF ENTRY|2,454|909|174|735|1,545|296|1,249|***WORLD REGION OF BIRTH OF FOREIGN BORN|1,545|128|176|102|0|1,139|0|***LANGUAGE SPOKEN AT HOME|9,741|6,362|3,379|3,016|3,025|2,676|207|200|105|98|42|42|***ANCESTRY|9,741|72|47|0|0|0|0|0|0|60|0|0|99|107|0|0|82|13|49|0|0|0|66|0|18|0|307
DATA|BX01|Claremont-Bathgate|***HOUSEHOLD BY TYPE|9,847|6,738|4,114|1,750|1,026|614|145|4,374|2,943|3,109|2,768|900|4,758|1,836|3.0|3.7|***RELATIONSHIP|29,620|9,847|1,769|12,780|3,928|1,296|514|***MARITAL STATUS|9,873|6,050|2,725|393|237|468|13,072|7,374|2,376|1,057|801|1,464|***GRANDPARENTS|1,049|437|103|79|42|213|437|304|223|***SCHOOL ENROLLMENT|10,007|468|727|4,289|2,770|1,753|***EDUCATIONAL ATTAINMENT|16,551|3,162|3,964|4,515|2,786|709|1,090|325|-|-|***VETERAN STATUS|20,921|354|***RESIDENCE 1 YEAR AGO|30,182|26,279|3,712|2,472|1,240|1,140|100|191|***PLACE OF BIRTH|30,715|22,846|19,878|17,998|1,880|2,968|7,869|***U.S. CITIZENSHIP STATUS|7,869|3,011|4,858|***YEAR OF ENTRY|10,837|2,968|69|2,899|7,869|316|7,553|***WORLD REGION OF BIRTH OF FOREIGN BORN|7,869|40|91|1,752|0|5,986|0|***LANGUAGE SPOKEN AT HOME|28,110|11,996|16,114|7,054|13,662|5,937|443|221|118|16|1,891|880|***ANCESTRY|30,715|494|0|0|0|0|0|19|29|0|21|0|71|78|0|0|21|5|31|0|0|0|2,915|0|0|0|1,010
DATA|BX06|Belmont|***HOUSEHOLD BY TYPE|8,319|4,922|3,135|1,456|791|706|314|2,760|2,030|3,397|2,849|933|3,394|1,661|2.8|3.6|***RELATIONSHIP|22,883|8,319|1,467|8,987|2,435|1,675|662|***MARITAL STATUS|8,993|5,533|2,163|548|147|602|10,764|6,326|2,102|919|686|731|***GRANDPARENTS|530|97|0|51|0|46|97|97|0|***SCHOOL ENROLLMENT|10,077|357|365|3,296|1,462|4,597|***EDUCATIONAL ATTAINMENT|12,591|2,949|2,233|3,297|2,086|674|759|593|-|-|***VETERAN STATUS|18,606|355|***RESIDENCE 1 YEAR AGO|25,435|20,681|4,231|2,893|1,338|704|634|523|***PLACE OF BIRTH|25,783|17,696|15,641|12,870|2,771|2,055|8,087|***U.S. CITIZENSHIP STATUS|8,087|2,513|5,574|***YEAR OF ENTRY|10,142|2,055|293|1,762|8,087|273|7,814|***WORLD REGION OF BIRTH OF FOREIGN BORN|8,087|950|352|508|0|6,277|0|***LANGUAGE SPOKEN AT HOME|23,638|8,809|14,829|6,729|12,153|5,563|1,862|809|502|201|312|156|***ANCESTRY|25,783|225|101|8|0|20|260|203|55|348|98|17|1,216|2,272|0|22|229|14|175|21|96|0|721|0|27|34|837
DATA|BX17|East Tremont|***HOUSEHOLD BY TYPE|14,245|9,534|5,479|2,381|1,206|1,065|520|6,088|3,753|4,711|4,213|1,371|6,333|2,628|2.9|3.5|***RELATIONSHIP|40,645|14,245|2,345|17,430|4,497|2,128|996|***MARITAL STATUS|13,553|8,132|3,435|916|293|777|17,800|8,981|3,332|1,694|1,406|2,387|***GRANDPARENTS|1,451|660|63|181|178|238|660|550|287|***SCHOOL ENROLLMENT|13,053|708|840|5,777|3,437|2,291|***EDUCATIONAL ATTAINMENT|23,179|4,848|4,364|6,483|3,578|1,665|1,832|409|-|-|***VETERAN STATUS|28,730|669|***RESIDENCE 1 YEAR AGO|41,375|37,051|3,757|2,868|889|641|248|567|***PLACE OF BIRTH|41,871|29,400|24,200|22,403|1,797|5,200|12,471|***U.S. CITIZENSHIP STATUS|12,471|4,852|7,619|***YEAR OF ENTRY|17,671|5,200|171|5,029|12,471|529|11,942|***WORLD REGION OF BIRTH OF FOREIGN BORN|12,471|281|207|1,975|17|9,991|0|***LANGUAGE SPOKEN AT HOME|38,330|12,575|25,755|11,384|22,859|10,124|488|241|230|140|2,178|879|***ANCESTRY|41,871|797|77|0|0|9|63|80|0|135|4|8|219|343|0|0|43|0|12|0|9|0|2,176|0|4|0|624
