DESC (0)|NTACODE (1)|NTANAME (2)|***EMPLOYMENT STATUS (3)|POPULATION 16 YEARS AND OVER (4)|   IN LABOR FORCE (5)|       CIVILIAN LABOR FORCE (6)|          EMPLOYED (7)|          UNEMPLOYED (8)|       ARMED FORCES (9)|   NOT IN LABOR FORCE (10)|CIVILIAN LABOR FORCE (11)|   UNEMPLOYMENT RATE (12)|FEMALES 16 YEARS AND OVER (13)|   IN LABOR FORCE (14)|      CIVILIAN LABOR FORCE (15)|        EMPLOYED (16)|OWN CHILDREN UNDER 6 YEARS (17)|      ALL PARENTS IN FAMILY IN LABOR FORCE (18)|OWN CHILDREN 6 TO 17 YEARS (19)|      ALL PARENTS IN FAMILY IN LABOR FORCE (20)|***OCCUPATION (21)|CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (22)|   MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS (23)|   SERVICE OCCUPATIONS (24)|   SALES AND OFFICE OCCUPATIONS (25)|   NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS (26)|   PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS (27)|***INDUSTRY (28)|CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (29)|   AGRICULTURE, FORESTRY, FISHING, HUNTING, AND MINING (30)|   CONSTRUCTION (31)|   MANUFACTURING (32)|   WHOLESALE TRADE (33)|   RETAIL TRADE (34)|   TRANSPORTATION AND WAREHOUSING, AND UTILITIES (35)|   INFORMATION (36)|   FINANCE AND INSURANCE, AND REAL ESTATE AND RENTAL AND LEASING (37)|   PROFESSIONAL, SCIENTIFIC, AND MANAGEMENT, AND ADMINISTRATIVE AND WASTE MANAGEMENT SERVICES (38)|   EDUCATIONAL SERVICES, AND HEALTH CARE AND SOCIAL ASSISTANCE (39)|   ARTS, ENTERTAINMENT, AND RECREATION, AND ACCOMMODATION AND FOOD SERVICES (40)|   OTHER SERVICES, EXCEPT PUBLIC ADMINISTRATION (41)|   PUBLIC ADMINISTRATION (42)|***CLASS OF WORKER (43)|CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (44)|   PRIVATE WAGE AND SALARY WORKERS (45)|   GOVERNMENT WORKERS (46)|   SELF-EMPLOYED IN OWN NOT INCORPORATED BUSINESS WORKERS (47)|   UNPAID FAMILY WORKERS (48)|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) (49)|TOTAL HOUSEHOLDS (50)|   LESS THAN $10,000 (51)|   $10,000 TO $14,999 (52)|   $15,000 TO $24,999 (53)|   $25,000 TO $34,999 (54)|   $35,000 TO $49,999 (55)|   $50,000 TO $74,999 (56)|   $75,000 TO $99,999 (57)|   $100,000 TO $149,999 (58)|   $150,000 TO $199,999 (59)|   $200,000 OR MORE (60)|   WITH EARNINGS (61)|   WITH SOCIAL SECURITY (62)|   WITH RETIREMENT INCOME (63)|   WITH SUPPLEMENTAL SECURITY INCOME (64)|   WITH CASH PUBLIC ASSISTANCE INCOME (65)|   WITH FOOD STAMP/SNAP BNFTS IN THE PAST 12 MO (66)|FAMILIES (67)|   LESS THAN $10,000 (68)|   $10,000 TO $14,999 (69)|   $15,000 TO $24,999 (70)|   $25,000 TO $34,999 (71)|   $35,000 TO $49,999 (72)|   $50,000 TO $74,999 (73)|   $75,000 TO $99,999 (74)|   $100,000 TO $149,999 (75)|   $150,000 TO $199,999 (76)|   $200,000 OR MORE (77)|NONFAMILY HOUSEHOLDS (78)|***HEALTH INSURANCE COVERAGE (79)|CIVILIAN NONINSTITUTIONALIZED POPULATION (80)|   WITH HEALTH INSURANCE COVERAGE (81)|      WITH PRIVATE HEALTH INSURANCE (82)|      WITH PUBLIC COVERAGE (83)|   NO HEALTH INSURANCE COVERAGE (84)|CIVILIAN NONINSTITUTIONALIZED POPULATION UNDER 18 YEARS (85)|   NO HEALTH INSURANCE COVERAGE (86)|CIVILIAN NONINSTITUTIONALIZED POPULATION 18 TO 64 YEARS (87)|   IN LABOR FORCE: (88)|      EMPLOYED: (89)|         WITH HEALTH INSURANCE COVERAGE (90)|            WITH PRIVATE HEALTH INSURANCE (91)|            WITH PUBLIC COVERAGE (92)|         NO HEALTH INSURANCE COVERAGE (93)|      UNEMPLOYED: (94)|         WITH HEALTH INSURANCE COVERAGE (95)|           WITH PRIVATE HEALTH INSURANCE (96)|           WITH PUBLIC COVERAGE (97)|         NO HEALTH INSURANCE COVERAGE (98)|    NOT IN LABOR FORCE: (99)|        WITH HEALTH INSURANCE COVERAGE (100)|          WITH PRIVATE HEALTH INSURANCE (101)|          WITH PUBLIC COVERAGE (102)|        NO HEALTH INSURANCE COVERAGE (103)
DATA|BK77|Bushwick North|***EMPLOYMENT STATUS|48,385|30,488|30,446|27,351|3,095|42|17,897|30,446||23,405|12,633|12,633|11,227|5,661|3,007|8,897|5,163|***OCCUPATION|27,351|5,423|8,707|4,921|3,316|4,984|***INDUSTRY|27,351|46|3,155|2,422|822|2,953|1,523|705|917|2,871|5,354|4,191|1,971|421|***CLASS OF WORKER|27,351|23,148|2,299|1,876|28|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|18,885|2,841|1,326|2,630|2,277|2,821|3,539|1,697|1,237|340|177|15,040|2,687|768|2,078|1,134|7,011|13,415|1,758|1,047|2,012|2,050|2,113|2,417|876|793|197|152|5,470|***HEALTH INSURANCE COVERAGE|61,775|42,598|19,134|26,708|19,177|15,521|632|42,665|30,023|26,969|13,954|10,670|3,823|13,015|3,054|1,506|577|951|1,548|12,642|8,744|2,580|6,929|3,898
DATA|BK78|Bushwick South|***EMPLOYMENT STATUS|55,499|34,416|34,416|29,645|4,771|0|21,083|34,416||29,550|16,894|16,894|14,361|5,365|3,298|11,337|8,073|***OCCUPATION|29,645|7,834|9,645|6,965|1,845|3,356|***INDUSTRY|29,645|32|1,367|1,479|695|4,015|1,956|1,065|1,647|3,591|7,039|3,823|1,684|1,252|***CLASS OF WORKER|29,645|22,942|4,642|1,976|85|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|24,164|4,120|1,810|3,781|2,246|3,448|4,022|2,123|1,955|401|258|18,029|5,071|1,755|3,271|1,488|8,727|15,324|2,006|1,028|2,624|1,398|2,396|2,697|1,369|1,479|197|130|8,840|***HEALTH INSURANCE COVERAGE|70,981|56,776|26,770|33,511|14,205|17,883|933|47,032|33,743|29,147|20,393|15,928|5,122|8,754|4,596|2,848|653|2,276|1,748|13,289|10,663|3,209|8,133|2,626
DATA|BK99|park-cemetery-etc-Brooklyn|***EMPLOYMENT STATUS|300|237|237|218|19|0|63|237||166|130|130|111|28|0|88|37|***OCCUPATION|218|95|72|51|0|0|***INDUSTRY|218|0|0|7|0|0|0|15|0|47|49|30|7|63|***CLASS OF WORKER|218|155|63|0|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|170|0|0|0|36|46|56|0|19|7|6|153|47|28|36|0|82|72|27|19|0|19|0|7|0|0|0|0|98|***HEALTH INSURANCE COVERAGE|416|401|166|254|15|128|0|271|225|206|191|136|55|15|19|19|19|19|0|46|46|11|35|0
DATA|BK82|East New York|***EMPLOYMENT STATUS|67,948|37,245|37,219|32,223|4,996|26|30,703|37,219||39,290|20,690|20,669|18,349|8,554|4,827|16,637|10,261|***OCCUPATION|32,223|6,484|10,741|8,624|2,053|4,321|***INDUSTRY|32,223|0|1,565|1,249|280|3,602|3,355|740|2,091|3,203|10,393|1,995|1,695|2,055|***CLASS OF WORKER|32,223|24,797|6,356|1,054|16|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|30,771|6,309|2,262|3,959|3,563|4,598|4,799|2,267|2,208|575|231|21,744|5,942|2,866|2,706|2,648|8,236|21,990|3,796|1,394|2,792|2,613|3,419|3,688|1,748|1,857|463|220|8,781|***HEALTH INSURANCE COVERAGE|91,686|80,350|41,124|45,722|11,336|27,302|1,058|55,920|36,055|31,253|26,035|20,840|6,003|5,218|4,802|3,541|1,190|2,639|1,261|19,865|16,345|5,497|12,078|3,520
DATA|BK83|Cypress Hills-City Line|***EMPLOYMENT STATUS|36,056|20,624|20,586|18,977|1,609|38|15,432|20,586||19,309|9,679|9,679|8,880|4,636|2,553|8,390|4,816|***OCCUPATION|18,977|3,214|6,102|4,936|2,176|2,549|***INDUSTRY|18,977|11|1,832|1,027|516|2,234|1,688|293|1,135|1,904|4,628|2,029|980|700|***CLASS OF WORKER|18,977|16,114|2,091|767|5|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|13,634|2,187|1,030|1,486|1,348|2,054|2,515|1,207|1,205|332|270|10,907|2,321|793|805|775|2,869|10,976|1,437|727|1,205|1,136|1,629|2,211|1,077|1,050|296|208|2,658|***HEALTH INSURANCE COVERAGE|47,466|39,675|20,547|21,568|7,791|13,443|503|30,683|20,049|18,486|14,508|11,139|3,820|3,978|1,563|952|316|685|611|10,634|8,095|2,863|5,664|2,539
DATA|BK93|Starrett City|***EMPLOYMENT STATUS|10,589|4,836|4,836|4,168|668|0|5,753|4,836||7,217|3,296|3,296|3,021|773|486|1,787|1,419|***OCCUPATION|4,168|1,736|817|1,290|71|254|***INDUSTRY|4,168|0|49|61|65|555|209|201|321|136|1,751|186|215|419|***CLASS OF WORKER|4,168|2,506|1,586|76|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|6,378|1,521|807|884|654|976|930|335|155|63|53|3,444|2,224|794|1,149|213|1,967|3,242|362|447|475|329|525|630|220|138|63|53|3,136|***HEALTH INSURANCE COVERAGE|12,813|11,961|7,310|5,705|852|2,655|30|6,889|4,681|4,035|3,649|3,307|371|386|646|511|236|299|135|2,208|1,907|995|943|301
DATA|BK33|Carroll Gardens-Columbia Street-Red Hook|***EMPLOYMENT STATUS|32,333|23,403|23,395|21,216|2,179|8|8,930|23,395||17,641|12,113|12,113|11,105|2,909|2,130|4,602|3,418|***OCCUPATION|21,216|13,376|2,399|4,232|400|809|***INDUSTRY|21,216|12|363|778|500|1,962|394|2,149|2,069|4,543|4,756|2,141|757|792|***CLASS OF WORKER|21,216|16,092|2,803|2,321|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|17,628|1,592|863|1,182|1,153|1,576|2,545|1,852|2,990|1,535|2,340|14,290|3,131|1,497|1,054|491|2,148|9,142|567|470|463|640|832|1,259|789|1,592|761|1,769|8,486|***HEALTH INSURANCE COVERAGE|38,965|34,838|28,233|9,368|4,127|7,694|365|27,492|22,842|20,781|18,297|17,407|1,062|2,484|2,061|1,487|855|657|574|4,650|3,970|2,325|1,967|680
DATA|BK37|Park Slope-Gowanus|***EMPLOYMENT STATUS|61,068|48,491|48,461|45,322|3,139|30|12,577|48,461||32,162|24,210|24,210|22,857|5,548|4,182|7,125|5,201|***OCCUPATION|45,322|31,342|4,183|7,448|967|1,382|***INDUSTRY|45,322|62|795|1,465|789|2,296|997|4,709|4,682|9,906|11,004|4,478|2,293|1,846|***CLASS OF WORKER|45,322|34,481|6,425|4,416|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|31,068|1,241|801|1,404|1,261|2,596|4,804|3,903|6,083|3,590|5,385|27,780|4,664|2,914|638|279|1,352|15,944|315|182|496|533|1,119|1,925|1,660|3,371|2,373|3,970|15,124|***HEALTH INSURANCE COVERAGE|72,707|65,336|59,065|10,788|7,371|12,972|307|53,744|46,614|43,572|38,896|38,070|1,077|4,676|3,042|2,000|1,711|331|1,042|7,130|5,868|4,494|1,756|1,262
DATA|BK32|Sunset Park West|***EMPLOYMENT STATUS|43,331|28,090|28,089|25,187|2,902|1|15,241|28,089||19,986|11,776|11,776|10,159|5,172|2,960|7,292|4,747|***OCCUPATION|25,187|6,581|7,546|4,898|2,489|3,673|***INDUSTRY|25,187|56|1,962|1,995|794|2,398|1,160|990|1,318|2,471|5,098|4,680|1,767|498|***CLASS OF WORKER|25,187|21,632|2,118|1,421|16|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|17,023|1,798|1,172|2,348|1,913|2,571|2,909|1,644|1,824|425|419|14,191|3,174|1,119|1,163|1,258|4,368|11,384|865|823|1,654|1,542|1,720|1,861|1,127|1,162|321|309|5,639|***HEALTH INSURANCE COVERAGE|52,486|39,351|19,847|23,120|13,135|12,826|791|35,355|27,574|24,783|15,557|11,677|4,646|9,226|2,791|1,747|690|1,201|1,044|7,781|5,756|2,060|4,143|2,025
DATA|BK34|Sunset Park East|***EMPLOYMENT STATUS|55,815|35,980|35,965|31,978|3,987|15|19,835|35,965||27,705|14,953|14,953|13,347|6,121|3,156|10,153|6,284|***OCCUPATION|31,978|5,238|12,073|6,164|3,211|5,292|***INDUSTRY|31,978|49|2,866|2,925|1,008|2,806|1,473|533|1,281|2,510|4,816|8,565|2,464|682|***CLASS OF WORKER|31,978|26,909|2,591|2,411|67|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|20,544|2,385|1,841|3,308|2,751|3,077|3,230|1,766|1,492|407|287|17,135|3,742|1,250|1,607|1,748|6,157|15,596|1,479|1,242|2,976|2,286|2,319|2,346|1,202|1,193|321|232|4,948|***HEALTH INSURANCE COVERAGE|71,445|55,187|20,878|39,014|16,258|17,668|1,003|48,018|35,179|31,328|20,816|11,373|10,850|10,512|3,851|2,293|534|1,958|1,558|12,839|10,038|3,037|7,848|2,801
